2016-05-11 20:00:12,DOWN
2016-05-11 20:00:57,UP
2016-05-11 20:01:27,UP
2016-05-11 20:01:42,DOWN
2016-05-11 20:01:57,DOWN
2016-05-11 20:02:42,DOWN
2016-05-11 20:06:57,UP
2016-05-11 20:07:12,UP
2016-05-11 20:09:57,DOWN
2016-05-11 20:10:12,UP
2016-05-11 20:10:27,DOWN
2016-05-11 20:10:42,UP
2016-05-11 20:12:27,DOWN
2016-05-11 20:13:12,DOWN
2016-05-11 20:13:27,UP
2016-05-11 20:14:12,DOWN
2016-05-11 20:19:42,DOWN
2016-05-11 20:23:12,UP
2016-05-11 20:23:57,DOWN
2016-05-11 20:24:12,DOWN
2016-05-11 20:34:27,DOWN
2016-05-11 20:36:12,DOWN
2016-05-11 20:38:12,DOWN
2016-05-11 20:54:12,UP
2016-05-11 20:54:42,DOWN
2016-05-11 20:55:27,UP
2016-05-11 21:08:42,DOWN
2016-05-11 21:12:42,UP
2016-05-11 21:12:57,DOWN
2016-05-11 21:13:42,UP
2016-05-11 21:23:57,DOWN
2016-05-11 21:26:57,DOWN
2016-05-11 21:27:27,DOWN
2016-05-11 21:29:12,UP
2016-05-11 21:37:27,DOWN
2016-05-11 21:45:12,UP
2016-05-11 21:50:12,DOWN
2016-05-11 21:56:27,UP
2016-05-11 22:04:42,DOWN
2016-05-11 22:05:12,DOWN
2016-05-11 22:06:42,UP
2016-05-11 22:07:12,DOWN
2016-05-11 22:07:27,DOWN
2016-05-11 22:09:12,DOWN
2016-05-11 22:09:57,DOWN
2016-05-11 22:10:57,DOWN
2016-05-11 22:11:27,DOWN
2016-05-11 22:11:42,DOWN
2016-05-11 22:12:42,DOWN
2016-05-11 22:13:42,DOWN
2016-05-11 22:14:12,DOWN
2016-05-12 16:53:11,DOWN
2016-05-12 16:53:56,DOWN
2016-05-12 16:54:41,DOWN
2016-05-12 16:55:41,DOWN
2016-05-12 16:59:41,UP
2016-05-12 17:00:26,UP
2016-05-12 17:03:11,DOWN
2016-05-12 17:03:26,DOWN
2016-05-12 17:09:11,DOWN
2016-05-12 17:09:56,UP
2016-05-12 17:10:11,DOWN
2016-05-12 17:13:26,DOWN
2016-05-12 17:13:41,UP
2016-05-12 17:14:26,UP
2016-05-12 17:14:41,DOWN
2016-05-12 17:14:56,DOWN
2016-05-12 17:15:11,DOWN
2016-05-12 17:16:41,UP
2016-05-12 17:16:56,UP
2016-05-12 17:17:26,UP
2016-05-12 17:17:41,DOWN
